"employeeId","date","lock_in","lock_out","lock_nextDay","lock_lockedAtLocal","orange_in","orange_out","orange_nextDay","orange_desc"
"MTI210029","2026-05-27","08:00","17:00","False","2026-05-28 00:00:29","23:00","07:00","True","23:00-07:00 3 Shift Malam"
"MTI220009","2026-05-27","08:00","17:00","False","2026-05-27 12:00:57","07:00","15:00","False","07:00-15:00 3 Shift Pagi Hari ke-6"
"MTI220046","2026-05-27","08:00","18:00","False","2026-05-28 12:00:56","08:00","17:00","False","Respite Day / Fatigue Day"
"MTI220053","2026-05-27","08:00","17:00","False","2026-05-28 00:00:29","23:00","07:00","True","23:00-07:00 3 Shift Malam"
"MTI220056","2026-05-27","07:00","15:00","False","2026-05-28 12:00:56","08:00","17:00","False","Respite Day / Fatigue Day"
"MTI220063","2026-05-27","08:00","17:00","False","2026-05-27 12:00:57","07:00","15:00","False","07:00-15:00 Normal SIte"
"MTI220119","2026-05-27","07:00","15:00","False","2026-05-28 00:00:29","","","False","OFF"
"MTI230054","2026-05-27","07:00","15:00","False","2026-05-28 12:00:56","08:00","17:00","False","Respite Day / Fatigue Day"
"MTI230068","2026-05-27","07:00","15:00","False","2026-05-28 12:00:56","08:00","17:00","False","Respite Day / Fatigue Day"
"MTI230080","2026-05-27","08:00","17:00","False","2026-05-27 12:00:57","07:00","15:00","False","07:00-15:00 Normal SIte"
"MTI230091","2026-05-27","08:00","17:00","False","2026-05-28 00:00:30","23:00","07:00","True","23:00-07:00 3 Shift Malam"
"MTI230133","2026-05-27","08:00","17:00","False","2026-05-27 12:00:57","07:00","15:00","False","07:00-15:00 Normal SIte"
"MTI230141","2026-05-27","08:00","17:00","False","2026-05-27 12:00:57","23:00","07:00","True","23:00-07:00 3 Shift Malam"
"MTI230152","2026-05-27","08:00","17:00","False","2026-05-27 12:00:58","07:00","15:00","False","07:00-15:00 Normal SIte"
"MTI230153","2026-05-27","08:00","17:00","False","2026-05-27 12:00:58","07:00","15:00","False","07:00-15:00 Normal SIte"
"MTI230154","2026-05-27","08:00","17:00","False","2026-05-27 12:00:58","23:00","07:00","True","23:00-07:00 3 Shift Malam"
"MTI230156","2026-05-27","08:00","17:00","False","2026-05-27 12:00:58","07:00","15:00","False","07:00-15:00 Normal SIte"
"MTI230158","2026-05-27","08:00","17:00","False","2026-05-27 12:00:58","23:00","07:00","True","23:00-07:00 3 Shift Malam"
"MTI230196","2026-05-27","08:00","18:00","False","2026-05-29 00:00:25","08:00","17:00","False","Respite Day / Fatigue Day"
"MTI230203","2026-05-27","08:00","18:00","False","2026-05-28 12:00:56","08:00","17:00","False","Respite Day / Fatigue Day"
"MTI230243","2026-05-27","08:00","17:00","False","2026-05-27 12:00:58","07:00","15:00","False","07:00-15:00 Normal SIte"
"MTI230329","2026-05-27","08:00","17:00","False","2026-05-27 12:00:58","15:00","23:00","False","15:00-23:00 3 Shift Sore Hari ke-6"
