employeeId,date,lock_in,lock_out,lock_nextDay,lock_lockedAtLocal,orange_timeIn,orange_timeOut,orange_nextDay,orange_desc,mismatchNormalizedStill
MTI210013,2026-05-29,08:00,17:00,false,2026-05-29 12:00:52,07:00,15:00,false,07:00-15:00 Normal SIte,true
MTI220007,2026-05-29,07:00,15:00,false,2026-05-29 12:00:52,23:00,07:00,true,23:00-07:00 3 Shift Malam,true
MTI220022,2026-05-29,07:00,15:00,false,2026-05-29 12:00:52,23:00,07:00,true,23:00-07:00 3 Shift Malam,true
MTI220053,2026-05-29,08:00,17:00,false,2026-05-29 12:00:52,23:00,07:00,true,23:00-07:00 3 Shift Malam Hari ke-6,true
MTI220055,2026-05-29,08:00,17:00,false,2026-05-30 00:00:18,15:00,23:00,false,15:00-23:00 3 Shift Sore Hari ke-7,true
MTI220063,2026-05-29,08:00,17:00,false,2026-05-29 12:00:52,07:00,15:00,false,07:00-15:00 Normal SIte,true
MTI220146,2026-05-29,08:00,17:00,false,2026-05-29 12:00:52,07:00,15:00,false,07:00-15:00 Normal SIte,true
MTI220147,2026-05-29,07:00,15:00,false,2026-05-29 12:00:52,23:00,07:00,true,23:00-07:00 3 Shift Malam,true
MTI230052,2026-05-29,07:00,15:00,false,2026-05-29 12:00:52,23:00,07:00,true,23:00-07:00 3 Shift Malam,true
MTI230057,2026-05-29,07:00,15:00,false,2026-05-29 12:00:52,23:00,07:00,true,23:00-07:00 3 Shift Malam,true
MTI230060,2026-05-29,07:00,15:00,false,2026-05-29 12:00:52,23:00,07:00,true,23:00-07:00 3 Shift Malam,true
MTI230067,2026-05-29,07:00,15:00,false,2026-05-29 12:00:52,23:00,07:00,true,23:00-07:00 3 Shift Malam,true
MTI230073,2026-05-29,07:00,15:00,false,2026-05-29 12:00:52,23:00,07:00,true,23:00-07:00 3 Shift Malam,true
MTI230080,2026-05-29,08:00,17:00,false,2026-05-30 00:00:18,07:00,15:00,false,07:00-15:00 Normal SIte,true
MTI230091,2026-05-29,08:00,17:00,false,2026-05-30 00:00:18,23:00,07:00,true,23:00-07:00 3 Shift Malam,true
MTI230133,2026-05-29,08:00,17:00,false,2026-05-30 00:00:18,07:00,15:00,false,07:00-15:00 Normal SIte,true
MTI230141,2026-05-29,08:00,17:00,false,2026-05-29 12:00:53,23:00,07:00,true,23:00-07:00 3 Shift Malam,true
MTI230152,2026-05-29,08:00,17:00,false,2026-05-29 12:00:53,07:00,15:00,false,07:00-15:00 Normal SIte,true
MTI230153,2026-05-29,08:00,17:00,false,2026-05-29 12:00:53,07:00,15:00,false,07:00-15:00 Normal SIte,true
MTI230154,2026-05-29,08:00,17:00,false,2026-05-29 12:00:53,23:00,07:00,true,23:00-07:00 3 Shift Malam,true
MTI230156,2026-05-29,08:00,17:00,false,2026-05-29 12:00:53,07:00,15:00,false,07:00-15:00 Normal SIte,true
MTI230158,2026-05-29,08:00,17:00,false,2026-05-29 12:00:53,23:00,07:00,true,23:00-07:00 3 Shift Malam,true
MTI230221,2026-05-29,08:00,17:00,false,2026-05-30 00:00:18,15:00,23:00,false,15:00-23:00 3 Shift Sore,true
MTI230229,2026-05-29,08:00,17:00,false,2026-05-30 00:00:18,15:00,23:00,false,15:00-23:00 3 Shift Sore,true
MTI230243,2026-05-29,08:00,17:00,false,2026-05-29 12:00:53,07:00,15:00,false,07:00-15:00 Normal SIte,true
MTI230310,2026-05-29,08:00,17:00,false,2026-05-29 12:00:53,07:00,15:00,false,07:00-15:00 Normal SIte,true
MTI230339,2026-05-29,08:00,17:00,false,2026-05-29 12:00:53,07:00,15:00,false,07:00-15:00 Normal SIte,true
MTI230340,2026-05-29,08:00,17:00,false,2026-05-30 00:00:19,15:00,23:00,false,15:00-23:00 3 Shift Sore,true
MTI230349,2026-05-29,08:00,17:00,false,2026-05-30 00:00:19,15:00,23:00,false,15:00-23:00 3 Shift Sore,true
MTI230351,2026-05-29,08:00,17:00,false,2026-05-29 12:00:53,23:00,07:00,true,23:00-07:00 3 Shift Malam,true
MTI230388,2026-05-29,08:00,17:00,false,2026-05-29 12:00:53,07:00,15:00,false,07:00-15:00 Normal SIte,true
MTI240005,2026-05-29,07:00,15:00,false,2026-05-29 12:00:53,23:00,07:00,true,23:00-07:00 3 Shift Malam,true
MTI240114,2026-05-29,07:00,15:00,false,2026-05-29 12:00:53,23:00,07:00,true,23:00-07:00 3 Shift Malam,true
